ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2024-09-03T09:30:00.000000000Z,32,2,11667,116.790000000,116.810000000,116.790000000,116.810000000,516,NVDA
2024-09-03T09:30:01.000000000Z,32,2,11667,116.810000000,116.810000000,116.810000000,116.810000000,42,NVDA
2024-09-03T09:30:04.000000000Z,32,2,11667,116.840000000,116.840000000,116.840000000,116.840000000,100,NVDA
2024-09-03T09:30:05.000000000Z,32,2,11667,116.800000000,116.800000000,116.800000000,116.800000000,50,NVDA
2024-09-03T09:30:06.000000000Z,32,2,11667,116.840000000,116.840000000,116.840000000,116.840000000,10,NVDA
2024-09-03T09:30:07.000000000Z,32,2,11667,116.780000000,116.780000000,116.780000000,116.780000000,11,NVDA
2024-09-03T09:30:09.000000000Z,32,2,11667,116.800000000,116.800000000,116.800000000,116.800000000,1500,NVDA
2024-09-03T09:30:13.000000000Z,32,2,11667,116.760000000,116.760000000,116.760000000,116.760000000,68,NVDA
2024-09-03T09:30:13.000000000Z,32,2,10888,415.650000000,415.650000000,415.650000000,415.650000000,10,MSFT
2024-09-03T09:30:13.000000000Z,32,2,38,228.000000000,228.000000000,228.000000000,228.000000000,54,AAPL
2024-09-03T09:30:14.000000000Z,32,2,11667,116.760000000,116.760000000,116.740000000,116.740000000,845,NVDA
2024-09-03T09:30:14.000000000Z,32,2,10888,415.630000000,415.630000000,415.630000000,415.630000000,81,MSFT
2024-09-03T09:30:14.000000000Z,32,2,38,228.000000000,228.000000000,228.000000000,228.000000000,118,AAPL
2024-09-03T09:30:15.000000000Z,32,2,11667,116.740000000,116.740000000,116.690000000,116.690000000,431,NVDA
2024-09-03T09:30:15.000000000Z,32,2,38,228.000000000,228.000000000,228.000000000,228.000000000,828,AAPL
2024-09-03T09:30:15.000000000Z,32,2,10888,415.630000000,415.630000000,415.540000000,415.540000000,178,MSFT
2024-09-03T09:30:18.000000000Z,32,2,11667,116.680000000,116.680000000,116.680000000,116.680000000,900,NVDA
2024-09-03T09:30:23.000000000Z,32,2,38,227.930000000,227.930000000,227.910000000,227.910000000,36,AAPL
2024-09-03T09:30:23.000000000Z,32,2,10888,415.540000000,415.540000000,415.540000000,415.540000000,70,MSFT
2024-09-03T09:30:23.000000000Z,32,2,11667,116.680000000,116.680000000,116.670000000,116.670000000,101,NVDA
2024-09-03T09:30:24.000000000Z,32,2,10888,415.250000000,415.250000000,415.250000000,415.250000000,10,MSFT
2024-09-03T09:30:24.000000000Z,32,2,38,227.910000000,227.910000000,227.910000000,227.910000000,18,AAPL
2024-09-03T09:30:25.000000000Z,32,2,11667,116.700000000,116.700000000,116.700000000,116.700000000,1,NVDA
2024-09-03T09:30:26.000000000Z,32,2,38,227.910000000,227.910000000,227.900000000,227.900000000,217,AAPL
2024-09-03T09:30:27.000000000Z,32,2,11667,116.690000000,116.690000000,116.690000000,116.690000000,100,NVDA
2024-09-03T09:30:29.000000000Z,32,2,11667,116.670000000,116.670000000,116.670000000,116.670000000,10,NVDA
2024-09-03T09:30:33.000000000Z,32,2,10888,415.670000000,415.670000000,415.670000000,415.670000000,5,MSFT
2024-09-03T09:30:35.000000000Z,32,2,38,227.820000000,227.820000000,227.800000000,227.800000000,18,AAPL
2024-09-03T09:30:35.000000000Z,32,2,10888,415.320000000,415.320000000,415.320000000,415.320000000,15,MSFT
